what are bigos?	["Stew"]	["Polish food"]
what does ringo sing?	["Yellow Submarine", "Pinocchio Medley (Do You See the Noses Growing?): Desolation Theme / When You Wish Upon a Star", "Good Night", "I Shall Be Released", "Roll Over Beethoven", "Tommy's Holiday Camp", "Sweet Little Sixteen", "California Calling", "Honey Don't", "Don\u2019t Pass Me By"]	["Tommy's Holiday Camp", "With A Little Help From My Friends", "With a Little Help From My Friends (live)", "With a Little Help From My Friends", "It Don't Come Easy", "I Was Walkin'", "Don't Pass Me By", "Back Off Boogaloo", "King of Broken Hearts", "Octopus's Garden", "Photograph", "La De Da", "What in the... World", "Love Me Do", "With a Little Help From My Friends (reprise)", "I've Got Blisters...", "The End", "Sure to Fall (In Love With You)", "You're Sixteen", "Wonderful", "Shine Silently", "Act Naturally", "Private Property", "Attention", "Stop and Take the Time to Smell the Roses", "Dead Giveaway", "You Belong to Me", "Sure To Fall", "You've Got a Nice Way", "Red and Black Blues", "Brandy", "Stop and Take the Time to Smell the Roses (Original Vocal Version)", "You Can't Fight Lightning", "Hand Gun Promos", "Roll Over Beethoven", "In Liverpool", "I Wanna Be Your Man", "Love Bizarre - featuring Sheila E.", "I Wanna Be Your Man", "Roll Over Beethoven", "You and Me (Babe)", "It Don't Come Easy", "Six O'Clock", "You're Sixteen (You're Beautiful, and You're Mine)", "Oh My My", "Devil Woman", "Photograph", "La De Da", "All by Myself", "Act Naturally", "Act Naturally (feat. Buck Owens)", "Act Naturally", "Act Naturally", "Without Her", "Without Her", "Sweet Little Sixteen", "Sweet Little Sixteen", "Woman of the Night", "Snookeroo", "Only You (and You Alone)", "Snookeroo", "Snookeroo", "Woman of the Night", "Snookeroo", "I'm the Greatest", "Act Naturally", "Lady Gaye", "Only You", "You Always Hurt the One You Love", "I'm the Greatest", "I'm the Greatest", "I'm the Greatest", "Don't Go Where the Road Don't Go", "The Really 'Serious' Introduction", "I'm the Greatest", "Yellow Submarine", "Weight of the World", "Boys", "With a Little Help From My Friends", "Don't Be Cruel", "Mindfield", "Boys", "Beaucoups of Blues", "Love Don't Last Long", "I'd Be Talking All the Time", "$15 Draw", "Loser's Lounge", "Waiting", "Silent Homecoming", "Nashville Jam", "One", "What in the... World", "King of Broken Hearts", "Love Me Do", "Vertical Man", "Without Understanding", "I'll Be Fine Anywhere", "Puppet", "I'm Yours", "No No Song/Skokiaan", "A Dose of Rock 'N' Roll", "Down and Out", "In My Car", "Hopeless", "Alibi", "Be My Baby", "She's About a Mover", "I Keep Forgettin'", "Picture Show Life", "As Far as We Can Go", "Everybody's in a Hurry but Me", "Going Down", "As Far as We Can Go (original version)", "Coochy Coochy", "Hey Baby", "Weight of the World", "Honey Don't", "You're Sixteen", "Photograph", "Act Naturally", "Don't Go Where the Road Don't Go", "I'm the Greatest", "Back Off Boogaloo", "Boys", "The No-No Song", "It Don't Come Easy", "I Wanna Be Your Man", "With a Little Help From My Friends", "Yellow Submarine", "Walk With You", "Rock Island Line", "Occapella", "I Wouldn't Have You Any Other Way", "I Wouldn't Have You Any Other Way", "Early 1970", "Will It Go Round in Circles", "Never Without You", "Never Without You", "Wrack My Brain", "Fastest Growing Heartache in the West", "Oo-Wee", "Early 1970", "Weight of the World", "Fastest Growing Heartache In The West", "Fading in Fading Out", "The No-No Song", "Have You Seen My Baby", "Beaucoups of Blues (1995 remaster)", "(It's All Down to) Good Night Vienna (single version)", "You're Sixteen (You're Beautiful, and You're Mine)", "Photograph", "Don't Hang Up", "Don't Hang Up", "Boys", "Don't Know a Thing About Love", "Down and Out", "Step Lightly", "Down and Out", "Pinocchio Medley (\"Do You See the Noses Growing?\"): Desolation Theme / When You Wish Upon a Star", "Wake Up", "Pure Gold", "What Goes Around", "Drumming Is My Madness", "Stardust", "Wine, Women, and Loud Happy Songs", "Drumming Is My Madness", "The No No Song", "Gypsies in Flight", "It Don't Come Easy", "It Don't Come Easy", "It Don't Come Easy", "It Don't Come Easy", "It Don't Come Easy", "It Don't Come Easy", "It Don't Come Easy", "No No Song", "No No Song", "No No Song", "Cryin'", "Hey Baby", "You Don't Know Me at All", "Rudolph the Red\u2010Nosed Reindeer", "You Never Know", "Radio Spot", "Together Rap", "The Weight", "This Be Called a Song", "Spooky Wierdness", "Monkey See, Monkey Do", "Wine, Women and Loud Happy Songs", "Early 1970", "No One to Blame", "Winter Wonderland", "Anthem", "I'll Still Love You", "Honey Don't", "Las Brisas", "Drift Away", "After All These Years", "After All These Years", "A Man Like Me", "What Love Wants to Be", "Matchbox", "Beaucoups of Blues", "Your Sixteen", "Beaucoups of Blues", "Can She Do It Like She Dances", "Who Needs a Heart", "Hopeless", "In My Car", "I'm a Fool to Care", "Cookin' (In the Kitchen of Love)", "Cookin' (In the Kitchen of Love)", "I Was Walkin'", "Oh My My", "Call Me", "Only You (and You Alone)", "Easy for Me", "Goodnight Vienna", "Occapella", "Oo-Wee", "Husbands and Wives", "All by Myself", "Goodnight Vienna (reprise)", "Back Off Boogaloo", "Blindman", "Six O'Clock (extended version)", "Yellow Submarine", "Don't Go Where the Road Don't Go", "You're 16", "Weight of the World", "Weight of the World", "Weight of the World", "Hard Times", "Husbands and Wives", "Sunshine Life for Me (Sail Away Raymond)", "Sunshine Life for Me (Sail Away Raymond)", "Sunshine Life for Me (Sail Away Raymond)", "Honey Don't", "Honey Don't", "Honey Don't", "Christmas Time Is Here Again", "A Dose of Rock 'n' Roll", "Have You Seen My Baby (Hold On)", "Have You Seen My Baby (Hold On)", "Sentimental Journey", "All the Young Dudes", "Me and You", "Night and Day", "Who's Your Daddy", "With a Little Help From My Friends", "Sweet Little Sixteen", "Sneaking Sally Through the Alley", "Lucky Man", "The Turnaround", "King of Broken Hearts", "Dose of Rock 'n' Roll", "Fading In And Fading Out", "(It's All Down to) Good Night Vienna", "Beaucoups of Blues", "Oh My Lord", "Oh My Lord", "Fill in the Blanks", "Honey Don't", "Now That She's Gone Away", "I'd be Talking all the Time", "Whispering Grass (Don't Tell the Trees)", "Blue, Turning Grey Over You", "Love Is a Many Splendoured Thing", "Dream", "Fiddle About", "It's No Secret", "Simple Love Song", "Drowning in the Sea of Love", "Tango All Night", "Gave It All Up", "Out on the Streets", "Don't Go Where the Road Don't Go", "All in the Name of Love", "In a Heartbeat", "Only You (and You Alone)", "Bad Boy", "Old Time Relovin'", "Goodnight Vienna", "Love Is", "Tonight", "Oo-Wee", "If It's Love That You Want", "For Love", "Gone Are the Days", "Think About You", "Harry's Song", "Give It a Try", "Pasodobles", "Goodnight Vienna (reprise)", "Photograph", "Call Me", "Easy for Me", "Glamorous Life - featuring Sheila E.", "Everlasting Love - featuring Howard Jones"]
who is michael buble?	["Singer", "Actor", "Singer-songwriter"]	["Actor", "Singer", "Songwriter"]
who owns google 2012?	["Larry Page", "Sergey Brin"]	["Larry Page", "Sergey Brin"]
where is shakira from?	["Colombia"]	["Barranquilla"]
where is mali located?	["Africa", "West Africa"]	["Africa", "West Africa"]
who plays john connor?	["Edward Furlong", "Christian Bale", "Nick Stahl"]	["Nick Stahl", "Christian Bale", "Edward Furlong"]
who is moira in x men?	["Olivia Williams", "Rose Byrne"]	["Elizabeth McGovern"]
who plays simon birch?	["Ian Michael Smith"]	["Ian Michael Smith"]
who do pagans worship?	["Odin"]	["Odin"]
who plays donna noble?	["Catherine Tate"]	["Catherine Tate"]
who owns mazda canada?	["Ford Motor Company"]	["Jujiro Matsuda"]
what was lucille ball?	["Singer", "Model", "Comedian", "Television Producer", "Actor"]	["Actor", "Television Producer", "Singer", "Comedian", "Model"]
what was robert burns?	["Poet", "Writer", "Bard", "Author"]	["Poet", "Writer", "Author", "Bard"]
when was john paul ii?	["10/16/1978"]	["1920-05-18"]
who were mary shelley?	["Author"]	["Editor", "Novelist", "Writer", "Author", "Biographer", "Essayist", "Dramatist", "Travel writer"]
where is the un based?	["New York City"]	["New York City"]
who is thor heyerdahl?	["Film Director", "Scientist", "Cinematographer", "Actor", "Film Producer"]	["Film Producer", "Actor", "Scientist", "Film Director", "Cinematographer"]
who was wesley snipes?	["Film Producer", "Martial artist", "Actor"]	["Businessperson", "Film Producer", "Actor", "Martial artist"]
what language tunisia?	["French Language", "Arabic Language"]	["Arabic Language"]
where is daud ibrahim?	["Maharashtra"]	[]
who plays juni cortez?	["Daryl Sabara"]	["Daryl Sabara"]
who is angelina jolie?	["Actor"]	["Film Producer", "Actor", "Writer", "Screenwriter", "Voice Actor", "Film Director", "Model"]
what did dr. seuss do?	["Writer"]	["Film Producer", "Poet", "Writer", "Screenwriter", "Songwriter", "Cartoonist", "Artist", "Animator"]
who is moira en x men?	["Mutant"]	["Emma Frost", "Amanda Sefton", "Bishop", "Kitty Pryde", "Rogue", "chamber", "Gambit", "Wolverine", "Namor", "Colossus", "Storm", "Mystique", "Archangel", "Nightcrawler", "Professor X", "Rachel Summers", "Cyclops", "Husk", "Thunderbird", "Warpath", "Jamie Madrox", "Cloak", "Dagger", "Beast", "Iceman", "Jean Grey", "Longshot", "Dazzler", "Magneto", "Pixie", "Havok", "Polaris", "Jubilee", "Phoebe Cuckoo", "Irma Cuckoo", "Celeste Cuckoo", "Cable", "Sunfire", "Northstar", "Cannonball", "Loa", "Nate Grey", "Banshee", "Mimic", "Changeling", "Psylocke", "Armor", "Dark Beast", "Sunspot"]
where is nineveh city?	["Iraq"]	[]
who is jacob latimore?	["Singer", "Actor"]	["Actor", "Singer", "Dancer"]
who wrote st trinians?	["Ronald Searle"]	["Alex Mackie"]
what sri lanka capital?	["Sri Jayawardenapura Kotte"]	["Sri Jayawardenapura Kotte"]
where buddha come from?	["Lumbini"]	["Nepal"]
who was vp for lincoln?	["Andrew Johnson", "Hannibal Hamlin"]	["Hannibal Hamlin", "Andrew Johnson"]
what does monsanto own?	["Agricultural Chemicals", "Seed", "Agriculture", "Chemical industry"]	["Agriculture", "Agricultural Chemicals", "Chemical industry", "Seed"]
who plays billy elliot?	["Jamie Bell"]	["Mike Elliott", "Julie Walters", "Gary Lewis", "Jamie Draven", "Stuart Wells", "Joe Renton", "Jamie Bell", "Nicola Blackwell", "Jean Heywood", "Carol McGuigan", "Colin MacLachlan", "Trevor Fox", "Janine Birkett", "Billy Fane", "Charlie Hardwick"]
who was gerald ford vp?	["Nelson Rockefeller"]	["Richard Nixon"]
what does bentley mean?	["Bentley Motors Limited"]	["Automotive industry", "Manufacturing"]
who plays harley quinn?	["Arleen Sorkin", "Mia Sara", "Hynden Walch"]	["Chrissy Kiehl"]
what did fred durst do?	["Musician"]	["Businessperson", "Actor", "Guitarist", "Musician", "Singer", "Rapper", "Songwriter", "Film Director"]
who won fedex cup 2012?	["Brandt Snedeker"]	["Brandt Snedeker"]
how large is kony army?	["Kony 2012: Part II - Beyond Famous"]	[]
what to do san jose ca?	["San Jose Municipal Rose Garden", "The Tech Museum of Innovation", "Winchester Mystery House", "Japantown", "Downtown San Jose", "Rosicrucian Egyptian Museum", "San Jose Museum of Quilts & Textiles", "San Jose Museum of Art", "Alum Rock Park", "Santana Row"]	["Children's Discovery Museum of San Jose", "San Jose Museum of Quilts & Textiles", "San Jose Museum of Art", "Rosicrucian Egyptian Museum", "The Tech Museum of Innovation", "San Jose Municipal Rose Garden", "Winchester Mystery House", "Santana Row", "Kelley Park", "Happy Hollow Park & Zoo", "Alum Rock Park", "Downtown San Jose", "Japantown"]
who voiced darth vader?	["James Earl Jones"]	["Matt Sloan"]
who played cletus hogg?	["Jack Polick"]	["Jack Polick"]
where is jay leno from?	["New Rochelle"]	["New Rochelle"]
who is sir james dyson?	["Designer", "Industrial designer", "Engineer", "Inventor"]	["Ballbarrow"]
what was goebbels role?	["After Hitler's coup in 1933, Goebbels was named Reich Minister for Public Enlightenment and Propaganda and president of the newly-formed Chamber of Culture, which gave him total control over Germany's media."]	["Screenwriter", "Politician", "Author"]
where does bronx begin?	["Yankee Stadium"]	["New York City", "New York", "United States of America"]
who plays spike spiegel?	["Steven Blum", "Koichi Yamadera"]	["Koichi Yamadera", "Steven Blum"]
where is walton indiana?	["Indiana", "Cass County", "United States of America", "Tipton Township"]	["United States of America", "Indiana", "Cass County", "Tipton Township"]
who has ray allen dated?	["Shannon Walker Williams"]	["Shannon Walker Williams"]
what inspired steinbeck?	["William Faulkner", "Robert Burns", "Sherwood Anderson", "Thomas Malory"]	["William Faulkner", "Robert Burns", "Sherwood Anderson", "Thomas Malory"]
who were jesus siblings?	["Jude the Apostle", "James the Just", "Simon (brother of Jesus)", "Joses"]	["Mary", "Saint Joseph"]
where are samsung based?	["Seoul"]	["Seoul"]
where was st. lucy born?	["Syracuse"]	["Syracuse"]
who is keyshia cole dad?	["Leon Cole"]	["Leon Cole", "Yvonne Cole", "Francine Lons"]
what can do in new york?	["Central Park"]	["Towner County"]
what timezone is sweden?	["Central European Time"]	["UTC+01:00", "Central European Time"]
where english is spoken?	["Canada", "Australia", "South Africa", "Zambia", "United Kingdom", "Zimbabwe", "Uganda", "New Zealand", "Turks and Caicos Islands", "Tanzania"]	["United Kingdom", "United States of America", "Australia", "Canada", "Kingdom of Great Britain", "Ireland", "New Zealand"]
where is the city wales?	["United Kingdom", "United Kingdom, with Dependencies and Territories"]	["Cardiff"]
what did drita find out?	["Football Superleague of Kosovo"]	[]
where was john jay born?	["New York City"]	["New York City"]
what killed john bonham?	["Inhalation of vomit"]	["Inhalation of vomit"]
where is tunis on a map?	["Tunisia", "Africa", "Tunis Governorate"]	["Africa", "Tunisia", "Tunis Governorate"]
who was stephen r covey?	["Management", "Author", "Consultant", "Professor", "Writer", "Motivational speaking"]	["Professor", "Management", "Writer", "Author", "Consultant", "Motivational speaking"]
who was tupac signed to?	["Death Row Records", "Amaru Entertainment", "Interscope Records"]	["Amaru Entertainment", "Interscope Records", "Death Row Records"]
who brad pitt has dated?	["Angelina Jolie", "Robin Givens", "Jennifer Aniston", "Gwyneth Paltrow", "Juliette Lewis", "Sinitta", "Thandie Newton", "Shalane McCall", "Jill Schoelen"]	["Angelina Jolie", "Shalane McCall", "Jill Schoelen", "Jennifer Aniston", "Thandie Newton", "Gwyneth Paltrow", "Sinitta", "Robin Givens", "Juliette Lewis"]
what capital of austria?	["Vienna"]	["Vienna"]
when is venus brightest?	["Western astrology"]	[]
what to visit in denver?	["Black American West Museum & Heritage Center", "Denver Firefighters Museum", "Colorado State Capitol", "Denver Mint", "Molly Brown House", "Forney Transportation Museum", "Denver Botanic Gardens", "Museum of Contemporary Art Denver", "Denver Museum of Nature and Science", "Chamberlin Observatory"]	["Children's Museum of Denver", "Forney Transportation Museum", "Molly Brown House", "Denver Museum of Nature and Science", "Westin Westminster", "Denver Firefighters Museum", "Denver Botanic Gardens", "Elitch Gardens", "Colorado State Capitol", "Frederic C. Hamilton Building", "North Building", "Denver Mint", "Chamberlin Observatory", "Museum of Contemporary Art Denver", "Black American West Museum & Heritage Center"]
what is newcastle metro?	["Tyne and Wear"]	["Tyne and Wear Metro"]
where is south portland?	["United States of America", "Maine", "Cumberland County"]	["Maine", "United States of America", "Cumberland County"]
where is belgium germany?	["Western Europe"]	[]
what was kim richards in?	["The Car", "Escape to Witch Mountain", "Tuff Turf", "Black Snake Moan", "Race to Witch Mountain", "Devil Dog: The Hound of Hell", "No Deposit, No Return", "Return from Witch Mountain", "Meatballs Part II"]	["Presenter", "Actor"]
who was anakin skywalker?	["Darth Vader"]	["James Earl Jones", "Jake Lloyd", "David Prowse", "Sebastian Shaw", "Hayden Christensen", "Matt Lanter", "Robert E. Bean"]
what timezone is utah in?	["Mountain Time Zone"]	["Mountain Time Zone", "UTC\u221207:00"]
where did frank baum die?	["Hollywood"]	["Hollywood"]
where was rihanna raised?	["Saint Michael Parish", "Barbados"]	["Saint Michael Parish"]
who is emma stone father?	["Jeff Stone"]	["Krista Stone", "Jeff Stone"]
where does tim cook work?	["Apple Inc."]	["IBM", "Compaq", "Apple Inc.", "Intelligent Electronics"]
where did robin cook die?	["Inverness"]	["Inverness"]
who plays stanley hudson?	["Leslie David Baker"]	["Leslie David Baker"]
who were wright brothers?	["Orville Wright", "Wilbur Wright"]	["Wilbur Wright", "Orville Wright"]
where is jason mraz from?	["Mechanicsville"]	["Mechanicsville"]
what to visit in atlanta?	["Philips Arena", "Georgia Dome", "Omni Coliseum", "Zoo Atlanta", "Grant Park", "Castleberry Hill", "Atlanta-Fulton County Stadium", "Little Five Points", "Turner Field", "Buckhead"]	["Zoo Atlanta", "Margaret Mitchell House & Museum", "Georgia Dome", "Atlanta History Center", "Atlanta Symphony Orchestra", "CNN Center", "Fernbank Science Center", "Turner Field", "Georgia Aquarium", "Six Flags Over Georgia", "Fox Theatre", "Jimmy Carter Library and Museum", "Atlanta Cyclorama & Civil War Museum", "Centennial Olympic Park", "World of Coca-Cola", "Woodruff Arts Center", "Six Flags White Water", "Martin Luther King, Jr., National Historic Site", "Fernbank Museum of Natural History", "Atlanta Ballet"]
where is roswell area 51?	["Roswell"]	["Nevada"]
who was esther's husband?	["Susa"]	[]
where is chris rock from?	["Andrews"]	["Andrews"]
what did st augustine do?	["Physician", "Writer", "Philosopher"]	["St. Augustine Alligator Farm Zoological Park", "St. Augustine Light", "Fort Matanzas National Monument", "Lightner Museum", "Fountain of Youth Archaeological Park", "Gonz\u00e1lez-Alvarez House", "O'Reilly House", "Fort Mose Historic State Park", "Old St. Johns County Jail", "Anastasia State Park", "Castillo de San Marcos"]
what is houston timezone?	["Central Time Zone"]	[]
what channel saints game?	["Australian rules football"]	["Australian rules football"]
where is chris paul from?	["United States of America"]	["Lewisville"]
what is modern day judah?	["Jerusalem"]	["Hebrew Language"]
what time in hilo hawaii?	["Hawaii\u2013Aleutian Time Zone"]	["Hawaii\u2013Aleutian Time Zone"]
who is sir francis bacon?	["Philosopher"]	["Spy", "Scientist", "Author", "Philosopher", "Statesman"]
when do world war ii end?	["1942"]	["1945-09-02"]
where did mary bell live?	["Newcastle upon Tyne"]	["England"]
who was carolus linnaeus?	["Botanist"]	["Scientist", "Botanist", "Physician", "Biologist"]
what is the nigeria time?	["West Africa Time", "UTC+01:00"]	[]
who is the voice of kitt?	["Val Kilmer"]	["William Daniels"]
where did cs lewis wrote?	["Belfast"]	["The Chronicles of Narnia: The Lion, the Witch and the Wardrobe", "The Chronicles of Narnia: Prince Caspian", "The Chronicles of Narnia: The Voyage of the Dawn Treader"]
what does bolivia border?	["Brazil"]	["Brazil", "Argentina", "Peru", "Chile", "Paraguay"]
what team did howie long?	["Villanova Wildcats football", "Oakland Raiders"]	["Oakland Raiders", "Villanova Wildcats football"]
where is tennessee river?	["Tennessee"]	["Crump", "Knoxville", "Florence", "Huntsville", "Killen", "Sheffield", "Cherokee", "Lenoir City", "Chattanooga", "Decatur", "Clifton", "Scottsboro", "Soddy-Daisy", "Signal Mountain", "Paducah", "Loudon", "Savannah", "Guntersville", "Kingston", "Bridgeport", "Langston", "Grand Rivers", "South Pittsburg", "New Johnsonville", "Triana", "Waterloo"]
where is burundi country?	["Africa"]	["Africa"]
who did ben stiller date?	["Christine Taylor"]	["Jeanne Tripplehorn", "Janeane Garofalo", "Amanda Peet", "Calista Flockhart"]
what war did hitler lose?	["World War II"]	["World War I"]
what money does cuba use?	["Cuban peso", "Cuban convertible peso"]	["Cuban peso", "Cuban convertible peso"]
who was ulysses s. grant?	["Lieutenant-General"]	["Politician", "Military Officer", "Soldier"]
who is richard pryor son?	["Franklin Pryor", "Steven Pryor", "Richard Pryor Jr.", "Rain Pryor", "Kelsey Pryor", "Elizabeth Pryor", "Renee Pryor"]	["Elizabeth Pryor", "Rain Pryor", "Kelsey Pryor", "Franklin Pryor", "Richard Pryor Jr.", "Steven Pryor"]
where do john lennon die?	["New York City"]	["New York City"]
what did jesse owens won?	["Associated Press Male Athlete of the Year"]	["Associated Press Male Athlete of the Year"]
what book did tupac write?	["The Rose That Grew from Concrete"]	["Tupac", "The rose that grew from concrete", "Tupac", "Tupac", "The Rose That Grew from Concrete"]
where is denmark situated?	["Euroregion Baltic"]	["Europe", "Eurasia"]
what country was slovakia?	["Czechoslovakia"]	["Nagy-Milic", "Euroregion B\u00edl\u00e9-Biele Karpaty", "Babia G\u00f3ra", "Pilsko", "Danube", "Beskids", "Carpathian Mountains", "Bieszczady Mountains", "Tatra Mountains", "Carpathian Euroregion", "Ister-Granum Euror\u00e9gion", "Kasprowy Wierch", "Rysy", "\u015awinica", "Mi\u0119guszowiecki Szczyt Wielki", "Euroregion Tatry", "Euroregion Beskydy", "Klin"]
who's dating claire danes?	["Hugh Dancy"]	["Ben Lee", "Hugh Dancy", "Billy Crudup"]
who is michael j fox wife?	["Tracy Pollan"]	["Tracy Pollan"]
what team does jordan own?	["Jordan national football team"]	["Jordan national football team", "Al-Wehdat SC"]
what happened at benghazi?	["2012 U.S. diplomatic missions attacks", "2012 U.S. Consulate attack in Benghazi", "First Battle of Benghazi", "Second Battle of Benghazi"]	["2012 U.S. diplomatic missions attacks", "First Battle of Benghazi", "Second Battle of Benghazi", "2012 U.S. Consulate attack in Benghazi"]
who did paul revere marry?	["Sarah Revere"]	["Apollos Rivoire", "Deborah Hitchborn"]
where did kim jong il die?	["Pyongyang"]	["Pyongyang"]
what city is mt lassen in?	["Shasta County"]	["California", "North America", "United States of America", "Cascade Range", "Shasta County", "Lassen Volcanic National Park"]
who is shakira married to?	["Gerard Piqu\u00e9"]	["Antonio de la R\u00faa", "Gerard Piqu\u00e9"]
what is armenian currency?	["Armenian dram"]	["Currency"]
what year does hitler die?	["Hitler and His Generals: Military Conferences 1942-1945"]	["Suicide", "Gunshot"]
who is dirk nowitzki wife?	["Jessica Olsson"]	["Jessica Olsson"]
what money does spain use?	["Euro"]	["Euro"]
what would ap xin zhao do?	["Male"]	[]
who are china's neighbors?	["Pakistan", "Kyrgyzstan", "Myanmar", "Bhutan", "Afghanistan", "Tajikistan", "India", "Mongolia", "Laos", "Kazakhstan"]	["Nepal", "Japan", "India", "Russia", "Kazakhstan", "Mongolia", "North Korea", "Indochina", "Oudomxay Province", "Phongsaly Province", "Vietnam", "Myanmar", "Pakistan", "Taiwan", "Afghanistan", "Laos", "Kyrgyzstan", "Tajikistan", "Bhutan", "Luang Namtha Province"]
where is walton county ga?	["Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area", "Georgia"]	["Georgia", "Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area"]
which island is kailua on?	["Hawaii"]	["Kamakahonu", "Mokuaikaua Church", "Holualoa Bay", "Hale Halawai O Holualoa", "Holualoa 4 Archeological District", "Residence Of King Kamehameha I Kamakahonu", "Hulihee Palace"]
where did madonna grew up?	["Bay City"]	["Bay City"]
where did al qaeda attack?	["Iraq War"]	["September 11 attacks"]
who plays knox overstreet?	["Josh Charles"]	["Josh Charles"]
where is electrolux based?	["Stockholm"]	["Stockholm"]
who has played lex luthor?	["Anthony LaPaglia", "Kevin Spacey", "Clancy Brown", "James Marsters", "Gene Hackman"]	["James Marsters", "Kevin Spacey", "Gene Hackman", "Anthony LaPaglia", "Chris Noth", "Clancy Brown", "Powers Boothe"]
where was st peter killed?	["Rome"]	["Rome"]
what did thomas hobbes do?	["Political philosophy"]	["Philosopher"]
who played alf on tv show?	["Paul Fusco"]	["Paul Fusco"]
where do italy people live?	["Italy"]	["Rome"]
where did jay moriarty die?	["Maldives"]	["Maldives"]
what does julian lennon do?	["Singer", "Writer", "Guitarist", "Musician", "Actor", "Singer-songwriter", "Record producer"]	["Singer-songwriter", "Actor", "Guitarist", "Musician", "Singer", "Writer", "Record producer"]
what did thomas malthus do?	["Mathematician", "Demographer", "Scientist", "Economist"]	["Scientist", "Economist", "Mathematician", "Demographer"]
where was terry waite born?	["Bollington"]	["Bollington"]
where is perpignan located?	["France"]	["France", "Languedoc-Roussillon", "Pyr\u00e9n\u00e9es-Orientales"]
what is rihanna mum called?	["Monica Braithwaite"]	[]
who was demi lovato dating?	["Joe Jonas"]	["Joe Jonas"]
where do flemish come from?	["Belgium"]	[]
